File Descriptor based signals/events;signalfd,signalfd64,eventfd,eventfd2
View pending signals;rt_sigpending
Modify Signal Receive Behavior;rt_sigaction,rt_sigprocmask,sigaltstack
Send signal;kill,tkill,tgkill,rt_sigqueueinfo,rt_tgsigqueueinfo,alarm,pidfd_send_signal
Pipes;pipe,pipe2,tee,splice,vmsplice
System V message queues;msgget,msgctl,msgrcv,msgsnd
POSIX message queue;mq_open,mq_unlink,mq_timedsend,mq_timedreceive,mq_notify,mq_getsetattr
System V semaphores;semget,semctl,semop,semtimedop
File locking;flock
Futex (thread locking);futex,get_robust_list,set_robust_list,futex_waitv,set_tid_address
System V shared memory;shmget,shmctl,shmat,shmdt
Socket Send;sendto,sendmsg,sendfile,sendmmsg
Socket Receive;recvmsg,recvfrom,recvmmsg
Socket Lifecycle;socket,bind,listen,connect,shutdown,accept,accept4,socketpair,setsockopt
Socket information;getsockname,getpeername,getsockname,getsockopt
Streams Kernel Extension (unimplemented);getpmsg
mount /unmount filesystem;mount,umount2,mount_setattr,fsmount,fsopen,move_mount,open_tree,fspick
Filesystem Information;statfs,fstatfs,ustat,fsinfo
Create Filesystem Node;mknod,mknodat
Memory Mappings;mmap,munmap,mremap,mincore,remap_file_pages,process_mrelease
Monitor page-faults;userfaultfd
Protect Memory Range;mprotect,pkey_mprotect,pkey_alloc,pkey_free
Lock Pages in RAM;mlock,mlock2,mlockall,madvise,munlock,munlockall,process_madvise
NUMA / Multiprocessor;mbind,set_mempolicy,get_mempolicy,migrate_pages,move_pages,getcpu,membarrier,set_mempolicy_home_node
set device (partition) as swap area;swapon,swapoff
Raw I/O Device access;iopl,ioperm
Delete;rmdir,unlink,unlinkat
Symbolic Links;symlink,symlinkat,readlink,readlinkat
Hard Links;link,linkat
Move/Rename;rename,renameat,renameat2
INotify, File Event Listener;inotify_init,inotify_init1,inotify_add_watch,inotify_rm_watch
fanotify, File Event Listener;fanotify_mark,fanotify_init
Make new Directory;mkdir,mkdirat
Modify Extended File Attributes (MetaData);setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr
Get/List Extended File Attributes (MetaData);listxattr,llistxattr,flistxattr,getxattr,lgetxattr,fgetxattr
Modify File Access/Modification time;utime,utimes,futimesat,utimensat
Read Directory;getdents,getdents64
Read;read,readv,preadv,preadv2,pread64
Open;open,openat,openat2,creat,memfd_create,memfd_secret
Duplicate File Descriptor;dup,dup2,dup3
Set file size;truncate,ftruncate,fallocate
set read/write pointer;lseek
Synchronous Polling;select,pselect6,poll,ppoll
Evented Polling;epoll_create,epoll_create1,epoll_ctl_old,epoll_wait_old,epoll_wait,epoll_pwait,epoll_pwait2,epoll_ctl
